geneID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000248362,AC011352.1,10.84814623,7.460562601,2.998908462,2.487759362,0.012855068,0.514275563
ENSG00000261040,WFDC21P,321.3814672,7.460108247,2.120424267,3.518214898,0.00043446,0.514275563
ENSG00000273328,AC099329.2,8.264428262,7.396437185,3.483701557,2.123154657,0.033740894,0.514275563
ENSG00000215853,RPTN,252.5726523,7.389122593,3.161738723,2.337044025,0.019436895,0.514275563
ENSG00000235978,AC018816.1,39.29501239,7.339805147,2.642465757,2.777634914,0.00547561,0.514275563
ENSG00000283283,AC013268.4,5.407121868,7.329316537,3.355264783,2.184422694,0.028931202,0.514275563
ENSG00000235205,TATDN2P3,6.846858005,7.329308638,3.414060011,2.14680135,0.0318091,0.514275563
ENSG00000148346,LCN2,1739.625393,7.318441105,2.612439392,2.801382159,0.005088422,0.514275563
ENSG00000163216,SPRR2D,5772.518141,7.185186217,1.987505031,3.615178883,0.00030014,0.514275563
ENSG00000262094,AC139099.1,5.338236518,7.18493008,3.632392794,1.978015729,0.047926932,0.514275563
ENSG00000148734,NPFFR1,5.418907589,7.184928688,3.290292437,2.183674802,0.028986153,0.514275563
ENSG00000154274,C4orf19,32.17318976,7.18081734,2.742876233,2.617988101,0.008844989,0.514275563
ENSG00000169509,CRCT1,935.2575658,7.107287038,2.939416196,2.417924704,0.015609306,0.514275563
ENSG00000253125,AC055854.1,6.053532045,7.10693047,3.112872681,2.283077786,0.022425787,0.514275563
ENSG00000099954,CECR2,6.743542403,7.106917654,3.143253998,2.261006479,0.023758856,0.514275563
ENSG00000138449,SLC40A1,165.0052095,7.071737855,3.039156458,2.326875222,0.019971907,0.514275563
ENSG00000240694,PNMA2,4.757293052,7.024465296,3.663643095,1.917344325,0.055194202,0.514275563
ENSG00000223863,LINC01805,10.42195379,7.024463313,3.166510993,2.218360627,0.026530253,0.514275563
ENSG00000112782,CLIC5,75.00000981,7.023077691,3.597957898,1.951962166,0.050942697,0.514275563
ENSG00000155962,CLIC2,23.52270355,6.937260199,2.826875576,2.454038041,0.014126204,0.514275563
ENSG00000232187,FTH1P7,8.962157977,6.937005438,2.944595153,2.355843529,0.0184807,0.514275563
ENSG00000219507,FTH1P8,13.54930245,6.937003052,2.945939517,2.354767642,0.018534291,0.514275563
ENSG00000134594,RAB33A,4.591007715,6.937000418,3.180882409,2.180841517,0.029195141,0.514275563
ENSG00000277748,AC006262.4,6.647291207,6.936996028,3.373949817,2.056046001,0.039778082,0.514275563
ENSG00000174145,NWD2,108.3115079,6.920589229,2.157454008,3.207757479,0.001337743,0.514275563
ENSG00000124107,SLPI,16268.57965,6.886986846,1.882992705,3.657468681,0.000254718,0.514275563
