geneID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000168685,IL7R,471.6127493,-4.873434563,1.556114683,-3.131796529,0.001737402,0.913063009
ENSG00000163435,ELF3,70.06616817,7.029523654,2.256791322,3.114831037,0.001840503,0.913063009
ENSG00000107731,UNC5B,3411.888513,4.583837477,1.493092333,3.070029478,0.002140376,0.913063009
ENSG00000176971,FIBIN,35.96242928,8.887220503,2.899720068,3.064854639,0.002177758,0.913063009
ENSG00000142731,PLK4,643.841551,-4.709811849,1.553449978,-3.031840043,0.00243068,0.913063009
ENSG00000140519,RHCG,1967.027897,4.250783218,1.414641753,3.004847841,0.002657137,0.913063009
ENSG00000082497,SERTAD4,92.19279836,-5.844564585,1.976107828,-2.957614207,0.003100299,0.913063009
ENSG00000130487,KLHDC7B,124.8488879,5.139715983,1.745612498,2.944362503,0.003236207,0.913063009
ENSG00000198959,TGM2,1156.494756,-4.714221706,1.603461602,-2.940027811,0.003281828,0.913063009
ENSG00000122952,ZWINT,241.8582316,-6.400966816,2.202768756,-2.905873255,0.003662298,0.913063009
ENSG00000237512,UNC5B-AS1,71.41859554,4.589158435,1.593437548,2.880036585,0.00397629,0.913063009
ENSG00000162892,IL24,66.39514453,-6.332660007,2.205097479,-2.871827693,0.004081054,0.913063009
ENSG00000163082,SGPP2,807.9695152,4.669543273,1.638316225,2.850208769,0.004369054,0.913063009
ENSG00000130707,ASS1,4615.216666,3.589283247,1.270489247,2.82511895,0.004726307,0.913063009
ENSG00000104140,RHOV,615.6516901,4.305754165,1.525108342,2.82324478,0.004754026,0.913063009
ENSG00000135074,ADAM19,211.4434895,-4.51009656,1.610187589,-2.800975856,0.005094833,0.913063009
ENSG00000144583,4-Mar,179.0101047,-6.000680717,2.143275335,-2.799771275,0.005113883,0.913063009
ENSG00000092853,CLSPN,176.463576,-5.53383484,1.978544583,-2.796921984,0.005159199,0.913063009
ENSG00000167861,HID1,56.49600548,4.822132654,1.762500452,2.735961088,0.006219838,0.913063009
ENSG00000123416,TUBA1B,6956.262926,-4.448728735,1.636510057,-2.718424317,0.006559366,0.913063009
ENSG00000105357,MYH14,899.9134225,4.989242816,1.845474048,2.70350202,0.006861303,0.913063009
ENSG00000124107,SLPI,16268.57965,5.089141577,1.88302137,2.702646745,0.006878981,0.913063009
ENSG00000180730,SHISA2,101.4472843,-5.467251439,2.027185631,-2.696966354,0.006997434,0.913063009
ENSG00000136982,DSCC1,64.17270151,-6.577768175,2.445471707,-2.689774801,0.007150025,0.913063009
ENSG00000152784,PRDM8,60.34287453,-4.60752984,1.717550348,-2.682617045,0.007304858,0.913063009
ENSG00000162366,PDZK1IP1,581.7356436,5.105996407,1.90747303,2.676838062,0.007432055,0.913063009
ENSG00000241749,RPSAP52,41.64398842,-7.667337505,2.876260478,-2.665731273,0.007682107,0.913063009
ENSG00000219507,FTH1P8,13.54930245,7.811290323,2.933381615,2.662896052,0.007747134,0.913063009
ENSG00000165072,MAMDC2,221.0925613,-3.580359892,1.3489425,-2.654197561,0.007949727,0.913063009
ENSG00000267279,AC090409.1,59.42682324,-3.782267527,1.425999003,-2.652363374,0.007993047,0.913063009
ENSG00000267259,ERVE-1,146.3705854,5.585427684,2.111325047,2.645460817,0.008157973,0.913063009
ENSG00000139946,PELI2,36.14332205,5.651016754,2.13615354,2.645416937,0.008159032,0.913063009
ENSG00000109906,ZBTB16,76.01417609,6.081992372,2.299670645,2.644723228,0.008175776,0.913063009
ENSG00000276107,AC037198.1,311.1793991,-4.502595031,1.702714704,-2.644362569,0.008184494,0.913063009
ENSG00000164638,SLC29A4,328.0467413,4.104881293,1.5532522,2.642765478,0.008223197,0.913063009
ENSG00000105825,TFPI2,41.21014983,-5.364374171,2.030327812,-2.642122193,0.008238833,0.913063009
ENSG00000146674,IGFBP3,4012.249211,4.906733044,1.859012116,2.639430373,0.008304548,0.913063009
ENSG00000175121,WFDC5,247.1720921,3.901675857,1.482295882,2.632184239,0.008483784,0.913063009
ENSG00000105011,ASF1B,119.3957085,-11.47568541,4.3622513,-2.630679577,0.008521434,0.913063009
ENSG00000106686,SPATA6L,45.14013165,3.43715805,1.309555309,2.62467574,0.008673152,0.913063009
ENSG00000144810,COL8A1,300.8439033,-5.506693819,2.101415805,-2.620468451,0.008780905,0.913063009
