geneID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000103044,HAS3,223.2316612,-2.998286174,1.369675368,-2.189048766,0.028593296,0.999750329
ENSG00000164379,FOXQ1,550.5221312,2.374554554,1.087103677,2.184294473,0.028940617,0.999750329
ENSG00000133101,CCNA1,245.3248199,3.509986582,1.607242395,2.183856395,0.028972802,0.999750329
ENSG00000112972,HMGCS1,3230.93544,-2.423904015,1.110161346,-2.183379941,0.029007842,0.999750329
ENSG00000130707,ASS1,4615.216666,2.769477846,1.270538901,2.179766274,0.029274791,0.999750329
ENSG00000100422,CERK,600.4264473,-1.85863318,0.854843811,-2.174237161,0.029687329,0.999750329
ENSG00000114019,AMOTL2,5339.418862,1.647067236,0.75773279,2.173678186,0.029729312,0.999750329
ENSG00000129437,KLK14,15.22898765,6.234131984,2.870913838,2.171480001,0.029894907,0.999750329
ENSG00000111674,ENO2,24.18423534,-3.194330667,1.471107003,-2.171378874,0.029902544,0.999750329
ENSG00000161682,FAM171A2,19.60625945,-3.110568475,1.438154537,-2.162888894,0.030549726,0.999750329
ENSG00000128165,ADM2,713.2446057,2.157950899,0.999800836,2.158380769,0.03089824,0.999750329
ENSG00000226137,BAIAP2-DT,52.62190192,-2.16674349,1.004283063,-2.157502769,0.030966512,0.999750329
ENSG00000126803,HSPA2,763.652905,-2.005250865,0.92996315,-2.156269165,0.031062654,0.999750329
ENSG00000124107,SLPI,16268.57965,4.055236787,1.883052585,2.153544101,0.031275942,0.999750329
ENSG00000116183,PAPPA2,210.7828015,4.240774718,1.970218536,2.152438748,0.031362815,0.999750329
ENSG00000276997,AL513314.2,5.883902331,5.855622586,2.72329104,2.150200805,0.031539335,0.999750329
ENSG00000138944,SHISAL1,62.44051543,-2.96782601,1.381630304,-2.148060883,0.031708919,0.999750329
ENSG00000182253,SYNM,134.6568179,-2.287456992,1.066327114,-2.145173805,0.031938953,0.999750329
ENSG00000221869,CEBPD,2381.839059,2.030943101,0.947497066,2.143482207,0.032074398,0.999750329
ENSG00000065060,UHRF1BP1,1218.241402,1.825755376,0.852173832,2.142468247,0.032155821,0.999750329
ENSG00000197632,SERPINB2,6109.199229,2.276527126,1.063935153,2.139723572,0.032377113,0.999750329
ENSG00000129151,BBOX1,521.0308159,3.850764282,1.800010297,2.139301251,0.032411278,0.999750329
ENSG00000188177,ZC3H6,444.4150091,1.642162227,0.769157843,2.135013304,0.032759923,0.999750329
ENSG00000215127,SYT14P1,4.56512187,5.855618364,2.74424339,2.133782443,0.032860594,0.999750329
ENSG00000092929,UNC13D,203.3032578,2.254365722,1.061289426,2.124176183,0.033655414,0.999750329
ENSG00000111218,PRMT8,27.98797889,2.923928034,1.378251818,2.121475914,0.033881773,0.999750329
ENSG00000268089,GABRQ,24.61213279,-3.571882935,1.685542643,-2.119129379,0.034079534,0.999750329
ENSG00000197712,FAM114A1,1068.984533,-1.68360051,0.794637511,-2.118702536,0.034115614,0.999750329
ENSG00000115221,ITGB6,1937.489575,-2.507301641,1.188353814,-2.109894891,0.03486741,0.999750329
ENSG00000100889,PCK2,1186.192212,1.941926686,0.920422571,2.109820801,0.034873794,0.999750329
ENSG00000064270,ATP2C2,468.5553207,3.337110209,1.584429692,2.106190149,0.035187839,0.999750329
ENSG00000138685,FGF2,157.7239492,2.898390508,1.378715309,2.102240028,0.035532255,0.999750329
ENSG00000214999,AC129492.1,15.29773913,3.323690342,1.58153737,2.101556628,0.035592133,0.999750329
ENSG00000234719,NPIPB2,85.76183141,2.295403889,1.092614762,2.100835507,0.035655408,0.999750329
ENSG00000101825,MXRA5,988.0794124,-1.828304799,0.870912844,-2.09929709,0.03579072,0.999750329
ENSG00000181885,CLDN7,264.128639,3.064138098,1.460808077,2.097563771,0.035943698,0.999750329
ENSG00000197256,KANK2,274.6749877,-2.07390483,0.988804327,-2.097386483,0.035959377,0.999750329
ENSG00000203722,RAET1G,788.867635,1.898400833,0.905719317,2.096014513,0.036080904,0.999750329
ENSG00000163347,CLDN1,23026.15921,2.350945705,1.121749291,2.095785327,0.036101239,0.999750329
ENSG00000146147,MLIP,56.83884885,6.440591518,3.074500081,2.094841876,0.036185051,0.999750329
ENSG00000113739,STC2,3168.530279,1.635441453,0.781814729,2.091852958,0.036451671,0.999750329
ENSG00000174749,FAM241A,772.9201896,1.744106169,0.834627668,2.089681705,0.036646401,0.999750329
ENSG00000169683,LRRC45,155.3802666,-2.43167227,1.166993101,-2.083707494,0.037186782,0.999750329
ENSG00000165092,ALDH1A1,9.569623304,5.703627565,2.739746558,2.081808461,0.037359969,0.999750329
ENSG00000143147,GPR161,267.9668853,-2.189600435,1.051937885,-2.081492136,0.037388883,0.999750329
ENSG00000153395,LPCAT1,789.2869791,-1.957241368,0.940473006,-2.081124452,0.037422516,0.999750329
ENSG00000111885,MAN1A1,1144.586756,-2.270452611,1.092808081,-2.077631608,0.037743303,0.999750329
ENSG00000284606,AC105233.5,81.36576926,3.376439396,1.625186874,2.07756994,0.037748987,0.999750329
ENSG00000168297,PXK,1131.224191,1.755574509,0.845220228,2.077061636,0.037795871,0.999750329
ENSG00000132846,ZBED3,41.70049243,2.428911002,1.16976292,2.076413058,0.037855765,0.999750329
ENSG00000197147,LRRC8B,439.7985072,2.361645018,1.137878266,2.075481261,0.037941954,0.999750329
ENSG00000198934,MAGEE1,16.33867974,-3.493886217,1.687453757,-2.07050783,0.038404814,0.999750329
ENSG00000205485,AC004980.1,221.3299289,1.746241856,0.843547964,2.070115668,0.038441514,0.999750329
ENSG00000147642,SYBU,391.2273716,2.280382098,1.101703842,2.069868518,0.038464659,0.999750329
ENSG00000283000,AL392046.2,69.43340387,3.280862095,1.585163944,2.069730458,0.038477593,0.999750329
ENSG00000126368,NR1D1,427.9029116,2.524374128,1.221117465,2.067265599,0.038709134,0.999750329
ENSG00000140323,DISP2,53.71542572,-2.625150606,1.271236794,-2.065036678,0.03891953,0.999750329
ENSG00000136010,ALDH1L2,1725.571451,2.112752479,1.023506486,2.064229693,0.038995943,0.999750329
ENSG00000104140,RHOV,615.6516901,3.149934413,1.526065453,2.064088671,0.03900931,0.999750329
ENSG00000183580,FBXL7,29.81749332,-3.038224515,1.472948077,-2.062682699,0.039142785,0.999750329
