geneID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000124107,SLPI,16268.57965,6.379792001,1.883000517,3.388098911,0.000703789,0.704727793
ENSG00000105357,MYH14,899.9134225,5.968909162,1.845228432,3.234780616,0.001217362,0.704727793
ENSG00000133101,CCNA1,245.3248199,5.159667638,1.605770728,3.213203198,0.001312634,0.704727793
ENSG00000145362,ANK2,66.53124127,5.96640509,1.897760466,3.143918949,0.001667016,0.704727793
ENSG00000169550,MUC15,1981.19156,5.889135725,1.873838567,3.142819146,0.001673292,0.704727793
ENSG00000146147,MLIP,56.83884885,9.593935661,3.055388391,3.140005274,0.001689448,0.704727793
ENSG00000167861,HID1,56.49600548,5.425838995,1.761440705,3.080341551,0.002067633,0.704727793
ENSG00000146674,IGFBP3,4012.249211,5.721582751,1.858974044,3.07781745,0.002085226,0.704727793
ENSG00000133710,SPINK5,8071.88102,5.384752474,1.754317641,3.069428448,0.002144688,0.704727793
ENSG00000107731,UNC5B,3411.888513,4.576909344,1.493133379,3.065305088,0.002174481,0.704727793
ENSG00000116183,PAPPA2,210.7828015,6.00669463,1.968014574,3.052159628,0.002272012,0.704727793
ENSG00000082684,SEMA5B,395.1961416,4.983914569,1.63549514,3.047342941,0.002308741,0.704727793
ENSG00000163082,SGPP2,807.9695152,4.950066672,1.638368393,3.021339213,0.002516593,0.704727793
ENSG00000235531,MSC-AS1,39.67992277,9.260811241,3.085096459,3.001789851,0.002683974,0.704727793
ENSG00000163216,SPRR2D,5772.518141,5.920979171,1.987554358,2.979027541,0.002891648,0.704727793
ENSG00000159164,SV2A,28.66164515,-8.857049861,2.98690701,-2.965291464,0.003023963,0.704727793
ENSG00000124102,PI3,1882.777943,5.559097699,1.875990317,2.96328699,0.003043726,0.704727793
ENSG00000267259,ERVE-1,146.3705854,6.204806971,2.110768281,2.939596463,0.0032864,0.704727793
ENSG00000162069,BICDL2,475.8659581,4.305124777,1.48486578,2.899335977,0.003739539,0.704727793
